"Bhanpal Singh",Uttarakhand,Hardwar,803,0.06,"Bahujan Mukti Party",65,"Post Graduate",21240576,0,"","Agriculture and pension (Retd. from BHEL)"
Reenu,Uttarakhand,Hardwar,897,0.07,"Hindusthan Nirman Dal",38,"Post Graduate",2150701,40000,"","Honorarium based service"
"Lalit Kumar",Uttarakhand,Hardwar,738,0.06,"Peoples Party of India (Democratic)",31,"Post Graduate",100000,0,"",Student
"Ramesh Pokhriyal nishank",Uttarakhand,Hardwar,665674,52.37,"Bharatiya Janata Party",59,Doctorate,28739888,16444,"","Writing publication interest and Salary"
"Tribirendra Singh Rawat",Uttarakhand,Hardwar,3573,0.28,"Uttarakhand Kranti Dal (Democratic)",30,"12th Pass",3941321,0,"","Private Job"
"Ambrish Kumar",Uttarakhand,Hardwar,406945,32.02,"Indian National Congress",70,"Post Graduate",8548506,0,"",Pensioner
Dharmendra,Uttarakhand,Hardwar,1134,0.09,Independent,32,"Post Graduate",208000,0,"",NA
Nota,Uttarakhand,Hardwar,6281,0.49,"None of the Above",,,,,,
"Thakur Manish Singh (verma) swabhimani",Uttarakhand,Hardwar,2913,0.23,Independent,,,,,,
"Shishupal Singh",Uttarakhand,Hardwar,2552,0.2,Independent,46,"12th Pass",323000,0,"","Social Worker"
"Bachi Singh",Uttarakhand,Hardwar,1367,0.11,Independent,32,"8th Pass",40000,0,"",Agriculturist
Aadil,Uttarakhand,Hardwar,1319,0.1,Independent,30,Literate,864000,0,"",NA
"Surendra Kumar Upadhayay",Uttarakhand,Hardwar,1662,0.13,"Uttarakhand Kranti Dal",0,Graduate,4278300,2200000,"","Business (Spare Partas) Harihar"
